Espece;Foraging_method;Weight_g;Movement;Diet;Nest_location;Clutch_size;Brood_number;Fledging;Social;Temp
BCT;aerfeed;90;local;verteb;opground;2;1;30;greg;11.0318333
BEL;foglean;30;sedent;nectar;optree;3;2;14;terri;10.0891
BLA;grprob;90;sedent;invert;optree;3;3;14;terri;9.699328499
BRO;caglean;11;sedent;invert;optree;3;2;20;terri;8.500083333
CAN;grglean;5000;local;seed;opground;5;1;80;terri;9.87801667
CHA;caglean;21;local;seed;optree;4;2;14;terri;6.152733278
DOT;grprob;60;local;invert;opground;3;2;40;terri;13.174
DUN;grglean;21;sedent;seed;opground;4;2;12;terri;5.931133431
FAL;aerfeed;640;local;verteb;cavity;3;2;33;terri;9.822947368
FAN;caglean;8;sedent;invert;optree;3;3;13;terri;15.29080153
GOL;unglean;15;local;seed;optree;4;2;14;nonterri;6.966072727
GRE;unglean;28;local;seed;optree;5;2;16;nonterri;8.399211855
GRW;caglean;6.5;sedent;invert;optree;3;2;17;terri;10.0891
GUL;grglean;950;local;omniv;opground;3;1;50;greg;12.9321563
HAR;aerfeed;850;local;verteb;opground;4;2;44;terri;16.11719892
HOU;unglean;30;sedent;seed;cavity;4;3;15;nonterri;19.3291806
KAK;caglean;540;sedent;seed;cavitytree;4;2;65;nonterri;10.06966667
KEA;unglean;900;local;seed;cavity;4;2;95;greg;8.4913
KIN;aerfeed;65;local;verteb;cavity;5;3;26;terri;22.7296111
LGO;aerfeed;180;sedent;verteb;cavity;4;2;32;terri;10.47316747
LON;caglean;125;local;invert;optree;1;1;19;greg;10.22227778
MAG;grglean;350;sedent;omniv;optree;3;1;28;terri;21.29004671
MAL;grglean;1200;sedent;seed;opground;13;2;57;nonterri;16.7532083
MOR;aerfeed;175;sedent;invert;cavity;2;1;35;terri;21.29250541
OYS;grprob;550;local;invert;opground;2;1;35;terri;9.91508333
PHE;grprob;1200;sedent;seed;opground;9;5;14;terri;8.173931122
PIG;caglean;650;local;fruit;optree;1;2;37;greg;10.0891
PIP;grglean;40;local;invert;opground;3;2;14;terri;21.00183577
PLO;grglean;360;local;invert;opground;4;2;49;terri;26.0517917
PUK;grglean;850;sedent;omniv;opground;5;3;60;greg;22.33518465
QUA;grglean;180;sedent;seed;opground;13;2;10;greg;9.712801587
RCP;grglean;75;sedent;seed;cavitytree;7;1;45;greg;14.5415
RED;unglean;12;local;seed;optree;4;2;13;greg;-5.720894309
RIF;barfor;7;sedent;invert;cavitytree;4;2;24;terri;9.822947368
ROB;unglean;35;sedent;invert;optree;3;4;21;terri;9.704111111
ROC;grglean;400;sedent;seed;opground;2;3;30;greg;1.435318909
SHE;grglean;1400;local;seed;opground;9;1;56;terri;10.4295833
SHI;caglean;25;local;invert;optree;1;1;19;terri;18.431397
SIL;caglean;13;local;invert;optree;3;2;10;terri;17.66122709
SKY;grglean;38;sedent;seed;opground;3;2;20;terri;4.400493122
SON;grprob;70;sedent;invert;optree;3;2;13;terri;3.286780998
STA;grprob;85;local;omniv;cavity;4;2;20;nonterri;6.198867414
SUL;caglean;900;local;seed;cavity;2;1;70;greg;21.87579155
SWA;aerfeed;14;local;invert;cavity;4;3;21;nonterri;18.85344415
TOM;unglean;11;sedent;invert;cavitytree;4;3;18;terri;10.0891
WFH;grglean;550;local;verteb;optree;4;1;40;nonterri;15.2361389
YCP;caglean;45;local;seed;cavity;6;4;37;greg;9.508
YEL;grglean;27;local;seed;opground;4;2;13;terri;2.401558872
